materials,pathString
PTFE,Trash/plastic/Polyhaloolefins(Vinylhalides)/PTFE
PVDF,Trash/plastic/Polyhaloolefins(Vinylhalides)/PVDF
Poly(chlorotrifluoroethylene),Trash/plastic/Polyhaloolefins(Vinylhalides)/Poly(chlorotrifluoroethylene)
Poly(vinylbromide),Trash/plastic/Polyhaloolefins(Vinylhalides)/Poly(vinylbromide)
Poly(vinylfluoride),Trash/plastic/Polyhaloolefins(Vinylhalides)/Poly(vinylfluoride)
Poly(vinylidenechloride),Trash/plastic/Polyhaloolefins(Vinylhalides)/Poly(vinylidenechloride)
Polyhalostyrenes,Trash/plastic/Polyhalostyrenes
Poly(4-bromostyrene),Trash/plastic/Polyhalostyrenes/Poly(4-bromostyrene)
Poly(2-chlorostyrene),Trash/plastic/Polyhalostyrenes/Poly(2-chlorostyrene)
Poly(3-chlorostyrene),Trash/plastic/Polyhalostyrenes/Poly(3-chlorostyrene)
Poly(4-chlorostyrene),Trash/plastic/Polyhalostyrenes/Poly(4-chlorostyrene)
"Poly(2,5-difluorostyrene)","Trash/plastic/Polyhalostyrenes/Poly(2,5-difluorostyrene)"
Poly(4-fluorostyrene),Trash/plastic/Polyhalostyrenes/Poly(4-fluorostyrene)
Polyhydroxy(meth)acrylates,Trash/plastic/Polyhydroxy(meth)acrylates
Poly(2-hydroxyethylacrylate),Trash/plastic/Polyhydroxy(meth)acrylates/Poly(2-hydroxyethylacrylate)
Poly(2-hydroxyethylmethacrylate),Trash/plastic/Polyhydroxy(meth)acrylates/Poly(2-hydroxyethylmethacrylate)
Poly(2-hydroxypropylmethacrylate),Trash/plastic/Polyhydroxy(meth)acrylates/Poly(2-hydroxypropylmethacrylate)
Polyisophthalates,Trash/plastic/Polyisophthalates
Poly(BisphenolAisophthalate),Trash/plastic/Polyisophthalates/Poly(BisphenolAisophthalate)
Poly(butyleneisophthalate),Trash/plastic/Polyisophthalates/Poly(butyleneisophthalate)
Poly(ethyleneisophthalate),Trash/plastic/Polyisophthalates/Poly(ethyleneisophthalate)
POLYITACONATES(POLYMETHYLENESUCCINATES),Trash/plastic/POLYITACONATES(POLYMETHYLENESUCCINATES)
Poly[dimethylitaconate],Trash/plastic/POLYITACONATES(POLYMETHYLENESUCCINATES)/Poly[dimethylitaconate]
Poly[di(n-propyl)itaconate],Trash/plastic/POLYITACONATES(POLYMETHYLENESUCCINATES)/Poly[di(n-propyl)itaconate]
Poly[di(n-butyl)itaconate],Trash/plastic/POLYITACONATES(POLYMETHYLENESUCCINATES)/Poly[di(n-butyl)itaconate]
Poly[di(n-hexyl)itaconate],Trash/plastic/POLYITACONATES(POLYMETHYLENESUCCINATES)/Poly[di(n-hexyl)itaconate]
Polymethacrylamides,Trash/plastic/Polymethacrylamides
Poly(N-acetylmethacrylamide),Trash/plastic/Polymethacrylamides/Poly(N-acetylmethacrylamide)
Poly(N-benzylmethacrylamide),Trash/plastic/Polymethacrylamides/Poly(N-benzylmethacrylamide)
Poly(methacrylamide),Trash/plastic/Polymethacrylamides/Poly(methacrylamide)
Poly(N-tert-butylmethacrylamide),Trash/plastic/Polymethacrylamides/Poly(N-tert-butylmethacrylamide)
