"","Brand","ItemDescription"
"71776","Emperador","cookie bag (corporate parent Pepsi)"
"71777","Papatinas","Chip Bag"
"71778","Kacang","nut bag (corporate parent Pepsi)"
"71779","Re-Mix Explosion","snack bag (corporate parent Gonec)"
"71780","Marias","cookie bag (corporate parent Italiana)"
"71781","Bigotes","cookie bag (corporate parent Bimbo)"
"71782","Milky Way","Plastic wrappers"
"71783","D'Gari","drink mix"
"71784","Mamut","cookie bag (corporate parent Gamesa)"
"71785","Bran Frut","cookie bag (corporate parent Bimbo)"
"71786","Multi Grano Linaza","cookie bag (corporate parent Bimbo)"
"71787","Paleta Payaso","Plastic wrappers"
"71788","Solero","Plastic wrappers"
"71789","Chispitas","cookie bag (corporate parent Maribel)"
"71790","Gansito","snack cake bag"
"71791","DIF Cereal Integral","snack bag"
"71792","Marca Maizena","cornstarch pouch"
"71793","Karate","nut bag"
"71794","Dorco Shai 3","disposable razor bag"
"71795","Mini Pay","snack cake bag"
"71796","Inspireka","Plastic wrappers"
"71797","Arcoiris","cookie bag"
"71798","Skwinkes","snack bag"
"71799","Choco Milk","chocolate milk drink mix bag"
"71800","Don Vasco","condiment packet"
"71801","Absorsec Kleen Bebe","baby wipes plastic packaging (corporate parent Kimberly Clark)"
"71802","Obleas","cookie bag"
"71803","De la Rosa","Plastic wrappers"
"71804","Snickers","Plastic wrappers"
"71805","Unknown","plastic drinking straws"
"71806","Plasticostokio","plastic spoon"
"71807","Solo","plastic spoon"
"71808","Unknown","plastic utensils (spoons, forks)"
"71809","Coca Cola","bottle cap"
"71810","Ciel","bottle cap (corporate parent Coca Cola)"
"71811","del Valle","bottle cap (corporate parent Coca Cola)"
"71812","e-pura","bottle cap"
"71813","Unknown","bottle cap"
"71814","Bonafont","bottle cap"
"71815","Unknown","six-pack ring"
"71816","Cosecha Pura","tetra pak"
"71817","Nutri Yogurt","tetra pak"
"71818","Lala Yomi","tetra pak"
"71819","Leche Araceli","tetra pak"
"71820","Hersheys","tetra pak"
"71821","Coca Cola","metal can"
"71822","Coca Cola","Glass bottle"
"71823","Corona","metal can"
"71824","Victoria","metal can"
"71825","Jumex","Glass bottle"
"71826","Barrilito","Glass bottle"
"71827","Skyy Vodka","Glass bottle"
"71828","Absolut Vodka","Glass bottle"
"71829","Bardahl","metal can"
"71830","La Lechera","metal can"
"71831","Carnation","metal can"
"71832","Unknown","tin foil balls"
"71833","Henkel","laundry detergent package"
"71834","Dart","hot cup lid (white or black)"
"71835","Dart","cold cup lid (clear)"
"71836","Unknown","hot cup lid (white or black)"
"71837","Reyna","cold cup lid (clear)"
"71838","Orion","cold cup lid (clear)"
"71839","Lala","yogurt tub lid"
"71840","Pall Mall","Cigarette Packaging"
"71841","Malaga","Cigarette Packaging"
"71842","Baronet","Cigarette Packaging"
"71843","Starbucks","cold drink cup (clear)"
"71844","Lala Crema","milk product plastic tub"
"71845","Basco","cold drink cup (clear)"
"71846","ConVermex","cold drink cup (clear)"
"71847","Orion","cold drink cup (clear)"
"71848","Reyna","cold drink cup (clear)"
"71849","Cubasa","tupperware type tub"
"71850","Unknown","cold drink cup (clear)"
"71851","Basco","cold drink cup (red)"
"71852","Danonino","yogurt cup"
"71853","Danone","yogurt cup"
"71854","Yoplait","yogurt cup"
"71855","Unknown","gelatin snack cup"
"71856","Playdoh","play clay tub"
"71857","Yakult","yogurt drink"
"71858","Unknown","pill bottle"
"71859","Naranjazo","squeeze drink bottles (soft, clear)"
"71860","Lucas Gusano","plastic bottle (clear)"
"71861","Karyme","nail polish remover bottle"
"71862","Unknown","plastic cookie tray (clear)"
"71863","Dart","styrofoam cup"
"71864","Gol","styrofoam cup"
"71865","ConVermex","styrofoam cup"
"71866","Orion","styrofoam cup"
"71867","Gol","styrofoam tray"
"71868","Reyna","styrofoam tray"
"71869","Reyna","styrofoam bowl"
"71870","Barea Coffee Company","styrofoam cup"
"71871","Maruchan Instant Lunch","styrofoam cup"
"71872","Unknown","misc broken styrofoam pieces"
"71873","Andatti","styrofoam cup"
"71874","Trident","chewing gum blister pack"
"71875","Unknown","misc hard plastic pieces"
"71876","Unknown","soft, pliable sheet of foam"
"71877","Matec","flower pot"
"71878","Unknown","synthetic rope"
"71879","Unknown","hard plastic children's toy"
"71880","Unknown","Cigarette Lighters"
"71881","Unknown","plastic strap"
"71882","MicaForro","roll of self-adhesive film (to cover school books)"
"71883","Unknown","Bottle Caps (estimated)"
"71884","Unknown","Clear 8oz bags (estimated)"
"71885","Unknown","Cigarette Butts"
"71886","Unknown Tents","Camping Tents"
"71887","Unbanded","Garbage bags"
"71888","Taco Bell","Plastic wrappers"
"71889","Walmart","T-Shirt type shopping bags"
"71890","4 Aces Cigar","Tobacco, Foil ML Pouches"
"71891","Doritos","Chips bag"
"71892","Franz Bakery","Bread Packaging"
"71893","Unknown","Generic T-Shirt type shopping bag"
"71894","Reese's","Candy"
"71895","Jackpot","Tobacco"
"71896","Ziploc","Zipper type food bags, quart & pint"
"71897","Cliff Bar","Granola Bar"
"71898","Unknown","Polystyrene food tray"
"71899","Grocery Outlet","T-Shirt type shopping bag"
"71900","H&M","Credit Card type gift card"
"71901","Various","CD-Rom disks"
"71902","Swisher Sweet","Tobacco"
"71903","Resers","Potato Salad, pint"
"71904","Aces Tobacco","Tobacco Bag"
"71905","Alexandre Dairy","Milk Bottle"
"71906","Caprisun","Drink"
"71907","Egglands","Egg PS Carton"
"71908","Fire Ball","Alcohol Bottle"
"71909","Folger's","Coffee"
"71910","Frito Lay","Chips bag"
"71911","Hostess","Baked Goods"
"71912","Medifast","Nutrition Drink"
"71913","Minute Maid","Juice, 1/2 gallon jug"
"71914","Mission","Tortillas"
"71915","Ocean Spray","Juice Bag"
"71916","Bic","Cigarette Lighters"
"71917","Borski","Alcohol"
"71918","Lipton","Brisk Iced Tea Drink"
"71919","Cheetos","Chips bag"
"71920","Expo","Felt Tipped Markets"
"71921","Indian Summer","Applesauce"
"71922","Largo","Cream"
"71923","Lay's","Chips bag"
"71924","Marlboro","Cigarette Butts"
"71925","Pepsi","Soda"
"71926","Refresher","Drinking Water"
"71927","Safeway","Branded T-Shirt Type shopping bag"
"71928","Safeway","Signature Select (store brand) Cola"
"71929","Skittles","Candy"
"71930","Smuckers","Peanut Butter"
"71931","Standish Farms","Bread"
"71932","Starbucks","Coffee Cup Lid"
"71933","Toava","Alcohol"
"71934","Top Ramen","Noodle food product"
"71935","Up 4","Probiotic Drink"
"71936","Arrowhead","Water"
"71937","Brims","Cheese Puff Snack"
"71938","Captain Morgan","Alcohol"
"71939","Cisco","Cooking Oil 5-gallon jug"
"71940","Coke","Soda"
"71941","Crystal Creamery","Orange Juice"
"71942","Crystal Creamery","Cottage Cheese"
"71943","knorr magic cubes","Barangay Baseco, Tondo, Manila, Philippines"
"71944","Valser","Bottle caps"
"71945","Cornetto","Ice Cream packaging"
"71946","Alo Aloe Vera","Plastic bottle"
"71947","Trojkan","Vodka Bottle"
"71948","Magnum","Ice Cream packaging"
"71949","Blevita","Cracker packaging"
"71950","Capri Sun","Drink packaging"
"71951","Fishermans Friend","cough candy packaging"
"71952","Bachmann","spoon"
"71953","Burger King","Food packaging"
"71954","Winston","Cigarette Packaging"
"71955","Pueblo","Tabacco"
"71956","Passaia","Plastic bottle"
"71957","Ãœltje","Nuts packaging"
"71958","Party Honey Nuts","packaging"
"71959","Halls","packaging"
"71960","Coca Cola","Plastic bottle"
"71961","Volvic","Plastic bottle"
"71962","Lipton","Plastic bottle"
"71963","Aproz","Plastic bottle"
"71964","Granini","Plastic bottle"
"71965","Evian","Plastic bottle"
"71966","Malboro","Cigarette Butts"
"71967","Coop Trockenfleisch","packaging"
"71968","Kinderschokolade","Packaging"
"71969","Starbucks","take out cup"
"71970","Twister","ice cream packaging"
"71971","Haribo","candy packaging"
"71972","Pickup","candy packaging"
"71973","Lolipop","candy packaging"
"71974","Heineken","Cups"
"71975","Halter","candy packaging"
"71976","Sprite","Plastic bottle"
"71977","MOM","pacifier"
"71978","Donic SchildkrÃ¶t","Ping Pong ball"
"71979","Michel","bottle cups"
"71980","Air China","spoon"
"71981","Bic","Lighter"
"71982","Zweifel Chips","packaging"
"71983","Nici Stofftier","EMPTY"
"71984","Tempo","packaging"
"71985","Nimm2","candy packaging"
"71986","Snickers","candy packaging"
"71987","Lacrinorm","eye drop"
"71988","Lindor","packaging"
"71989","Rivella","Plastic bottle"
"71990","Knopers","candy packaging"
"71991","Balisto","candy packaging"
"71992","unknown","Cigarette Butts"
"71993","ChaCha","Sunflower seeds packaging"
"71994","WaiWai","Instant Noodle, Thai local brand"
"71995","Coke","Coca Cola bottle"
"71996","Jele","Jelly snack."
"71997","Crystal","Drinking water bottle"
"71998","Dutchmilk","Milk, Yogurt"
"71999","Teapot","Condensed milk."
"72000","Lay","Chips bag"
"72001","Singha","Drinking water bottle"
"72002","Leo","Beer can"
"72003","Nesle","Drinking water"
"72004","Mentos","Candy"
"72005","Ready","Energy drink"
"72006","Oishi","Tea drink."
"72007","Chang","Glass bottle"
"72008","Bento","Snack"
"72009","Ichitan","Tea drink"
"72010","Dutchie","Yogurt"
"72011","Ovaltine","EMPTY"
"72012","Sunsilk","Shampoo"
"72013","Lotte Bub-up","Candy"
"72014","Salts","Toothpaste"
"72015","Hua Hin","Drinking water"
"72016","indomie","indofood"
"72017","Indomie","indofood"
"72018","Good day","PT Santos Abadi"
"72019","Torabica","PT Torabika Eka Semesta"
"72020","Popice","PT. Farisa Nusa"
"72021","Liang Bulan Coffe","PT Liang Bulan"
"72022","Attack","PT Kao Indonesia"
"72023","Wings","PT  Sayap Mas Utama"
"72024","Rinso","Unilever"
"72025","Various brands","Recyclable waste, andnResidual waste"
"72026","Unknown","Plastic Bags"
"72027","Lucerne","Milk bottle"
"72028","Gatorade","Plastic bottle"
"72029","Kirkland","water bottle"
"72030","Hawaiian","Chips bag"
"72031","unknown","bubble wrap"
"72032","Impact Recovery","Plastic Bags"
"72033","unknown","water bottles"
"72034","unknown","re-closable bags"
"72035","unknown","Plastic wrappers"
"72036","Leviton","Plastic Bags"
"72037","unknown","Plastic bottle"
"72038","Base Culture","bar bag"
"72039","Hoody's","peanut bag"
"72040","unknown","shower cap bag"
"72041","Winco","water bottle"
"72042","Sabra","Humus tub"
"72043","Glacier","water bottle"
"72044","Camel","Cigarette Packaging"
"72045","Chobani","yogurt drink bottle"
"72046","Beach Body","bar bag"
"72047","Unknown","take-out french fry basket"
"72048","Fred Meyer","water bottle"
"72049","Kar's","Travel mix bag"
"72050","New Season's Market","Plastic wrappers"
"72051","unknown","take-out drink lids"
"72052","Starbucks","drink cup"
"72053","Trader Joe's","Salad dressing bottle"
"72054","Fanta","pop bottle"
"72055","Forbidden Farms","marijuana wrap"
"72056","unknown","balloon"
"72057","Walmart","Plastic Bags"
"72058","Carlsens","Mini Vodka bottle"
"72059","Niagara","water bottle"
"72060","unknown","deli tub lid"
"72061","unknown","plastic coated baby diaper"
"72062","Seven Eleven","pastry bag"
"72063","Discover Card","card envelope"
"72064","Bimbo","Plastic wrappers"
"72065","Champs Elysees","produce bag"
"72066","Fresh Start","hair conditioner bottle"
"72067","Dentict","plastic flosser"
"72068","unknown","large plastic sheet"
"72069","unknown","dog poop bags"
"72070","Shop Quick","Drink cup"
"72071","Starbucks","Drink cup"
"72072","McDonald","Drink cup"
"72073","Niagara","water bottle"
"72074","N/A(regular plastic cups))","Drink cup"
"72075","Gatorade","Drink bottle"
"72076","Pwer Ade","Drink bottle"
"72077","Grandmas","Plastic wrappers"
"72078","Hershey's","Plastic wrappers"
"72079","Kellog's","Plastic wrappers"
"72080","Kitkat","Plastic wrappers"
"72081","Cheetos","Plastic wrappers"
"72082","North Star","Plastic wrappers"
"72083","Little Debbie","Plastic wrappers"
"72084","Miller Lite","Plastic wrappers"
"72085","Casey's General Store","Clam plastic box"
"72086","Paul Msson","Brandy Bottle"
"72087","Camel","Plastic wrappers"
"72088","Multiple Brands","Beer cans"
"72089","Unknown","Cardboard"
"72090","Brachâ€™s","Plastic wrappers"
"72091","Planterâ€™s","Tin can"
"72092","Monster, Coors, Modelo, Blue Sky, Minute Maid, Diet Samâ€™s Cola, Budweiser, Mtn Dew","Aluminum Cans"
"72093","Dasani, Gatorade, Unknown","Plastic water bottle"
"72094","Hubertâ€™s Lemonade, Bacardi","Glass bottle"
"72095","Unknown","Carton"
"72096","Unknown","Plastic barrel"
"72097","Unknown, Mc Donaldâ€™s","Styrofoam cups"
"72098","Driscollâ€™s","Raspberry container"
"72099","Little Debbieâ€™s","Plastic wrappers"
"72100","Motts","Plastic wrappers"
"72101","Yorkshire peppermint","Plastic wrappers"
"72102","Quaker Oats","Plastic wrappers"
"72103","Nature Valley","Plastic wrappers"
"72104","Unknown","Coconut"
"72105","Larabar","Plastic wrappers"
"72106","Vanity Fair","Plastic wrappers"
"72107","Unknown","Styrofoam bin"
"72108","Unknown","Plastic Bags"
"72109","Unknown","Pellet gun cartridge"
"72110","spa","water bottle"
"72111","coca cola","soda bottle"
"72112","Raak","Plastic bottle"
"72113","Crystaline Still Water","water bottle"
"72114","shoes","various shoes"
"72115","Signal Tootpaste","toothpaste"
"72116","Sun Shopper","water bottle"
"72117","no brand","Plastic Bags"
"72118","no brand","fishing gear"
"72119","chupa chup","lolly popo sticks"
"72120","no brand","Cigarette Butts"
"72121","Heinz Hp Sauce","Plastic bottle"
"72122","various","Other Bottles"
"72123","unkown","balloon"
"72124","unknown","nurdles"
"72125","Lion dor","Hot drink"
"72126","see excel file","EMPTY"
"72127","Nestle","milk carton 236ml"
"72128","Pop Mie","Indofood"
"72129","Aqua bottle 600 ml + lid","Danone"
"72130","Fruit Tea bottle + lid","PT Sinar Sosro"
"72131","Teh Pucuk Harum bottle + lid","Mayora"
"72132","KFC cup","PT Fast Food Indonesia Tbk"
"72133","Aqua cup 300 ml","Danone"
"72134","Unknown plastic cup","EMPTY"
"72135","Teh Gelas","PT Orang Tua"
"72136","Rinso sachet","Unilever"
"72137","Mie Sedap","PT Wings Surya"
"72138","Unigold Biscuit","Kokola"
"72139","Hemart Cooking Oil","PT Bina Karya Prima"
"72140","Bimoli Cooking Oil","Indofood"
"72141","Biore Mens","Kao"
"72142","Sandals","EMPTY"
"72143","Downy Laundry Softene","Procter & Gamble"
"72144","Breaker Candy","PKG Breaker Candy Jatim"
"72145","Dunhill","British American Tobacco"
"72146","Roma","Mayora"
"72147","Head & Shoulders Sachet","Procter & Gamble"
"72148","Pilus","Dua Kelinci"
"72149","Akira","PT Garuda Teladan Sumut"
"72150","Biskuat","MondelÄ“z Indonesia"
"72151","Aice","PT Aice Ice Cream / PT Alpen Food Industry"
"72152","Styrofoam","EMPTY"
"72153","Susu Vanilla","CV Anugrah Internasional"
"72154","Biskuit Nasional Bermutu Kangguru","PT Aneka Indo Makmur"
"72155","Jangkar Pasuruan","Jangkar Pasuruan"
"72156","Plastic lined paper","EMPTY"
"72157","Plastic bags","EMPTY"
"72158","OPP (Oriented Polystyren Plastic)","EMPTY"
"72159","Mica box","EMPTY"
"72160","Cigarette buds","EMPTY"
"72161","Small plastic straw","EMPTY"
"72162","Hard plastic cup","EMPTY"
"72163","Pop Mie plastic fork","Indofood"
"72164","Kopiko Candy","Mayora"
"72165","Unknown candy","EMPTY"
"72166","Plastic straw","EMPTY"
"72167","Fruit foam sleeves","EMPTY"
"72168","Pen ink case","EMPTY"
"72169","You C 1000 glass bottle","PT Djojonegoro C-1000"
"72170","Aqua bottle lid","Danone"
"72171","Disposable diaper","EMPTY"
"72172","Plastic rope","EMPTY"
"72173","Cotton fabric","EMPTY"
"72174","Roma","Mayora"
"72175","Mai Dubai","EMPTY"
"72176","Alu can","Alu Can"
"72177","Red Bull","Can"
"72178","Bischoffzell","EMPTY"
"72179","Coca Cola","Can"
"72180","Coca Cola","Glas"
"72181","Heineken","Glas"
"72182","OK (Valora)","PET"
"72183","CHOPF AB","Can"
"72184","Fanta","Can"
"72185","LÃ¶wenbrÃ¤u","Can"
"72186","Tell","Can"
"72187","664","Can"
"72188","CreditSuisse","Can"
"72189","San Pellegrino","Can"
"72190","Eichhof","Glas"
"72191","Bird Scooter","EMPTY"
"72192","Andros","PET"
"72193","Flying Row","Can"
"72194","Captain Morgan","Glas"
"72195","Titanium Gordon","Can"
"72196","Allegra","PET"
"72197","Denner","Can"
"72198","SchÃ¼tzengarten","Can"
"72199","Volg","Can"
"72200","Elmer Citro","PET"
"72201","Tuborg","Can"
"72202","ZÃ¼ri","Dose"
"72203","Savitos","Glas"
"72204","Monster","Can"
"72205","Gralsberg","Can"
"72206","Cardinal","Can"
"72207","Emmi","EMPTY"
"72208","Heinz","Glas"
"72209","Milka","EMPTY"
"72210","Ã–ttingen","Can"
"72211","Switcher","Textil"
"72212","Prix Garantie","EMPTY"
"72213","Desperado","EMPTY"
"72214","Snikers","EMPTY"
"72215","COOP","EMPTY"
"72216","BIC (lighter)","EMPTY"
"72217","Troyka","EMPTY"
"72218","GuaranÃ","EMPTY"
"72219","Schweppes","EMPTY"
"72220","Refresco Benelux","EMPTY"
"72221","Sexergy","EMPTY"
"72222","HIPP","EMPTY"
"72223","Floralys","EMPTY"
"72224","Victoria","EMPTY"
"72225","ESSO","Metall"
"72226","XTC Guarana","EMPTY"
"72227","Sprite","EMPTY"
"72228","ANKER","EMPTY"
"72229","Eagle Energy Drink","EMPTY"
"72230","Bluseco","EMPTY"
"72231","Constellation","EMPTY"
"72232","Ottarkinger","EMPTY"
"72233","Freedea","EMPTY"
"72234","Einsiedel","EMPTY"
"72235","Sternenbier","EMPTY"
"72236","Bierbrauerei Ãœetliberg","EMPTY"
"72237","Slushpuppy","EMPTY"
"72238","CIRC Scooter","EMPTY"
"72239","LINDT","EMPTY"
"72240","Menthos","EMPTY"
"72241","Haribo","EMPTY"
"72242","Magnum","EMPTY"
"72243","Romeo","EMPTY"
"72244","Knoppers","EMPTY"
"72245","Nutella","EMPTY"
"72246","Sony","Walkmen"
"72247","NIKE","EMPTY"
"72248","Domino Pizza","EMPTY"
"72249","RayBan","EMPTY"
"72250","Duplo","EMPTY"
"72251","Pepsi","Can"
"72252","Lipton","Plastic bottle"
"72253","David Energy Drinks","Can"
"72254","Corona","Plastic bottle"
"72255","Fosters","Plastic bottle"
"72256","Stimorol","Verpackung"
"72257","Striker","Can"
"72258","Ramseier","Plastic bottle"
"72259","Sprint","Plastic bottle"
"72260","Parisienne","Cigarett Packaging"
"72261","Haldengut","Plastic bottle"
"72262","Absolut","Plastic bottle"
"72263","Jim Beam","one can and one bottle"
"72264","Feigling","Plastic bottle"
"72265","vhuobtc","Zewfg hvj"
"72266","3250","Indomie, miemie,"
"72267","PC","Bigi, fanta"
"72268","FG","Smoovee, La-Casey's"
"72269","Staples","Screen Cleaner Wipes"
"72270","365 Every Day Value Products","Oat bread"
"72271","365 Value Every Day Products Whipped Cream Cheese","Food container"
"72272","Tnejr","Jfhriej"
"72273","Desconocido","botella"
"72274","Coca cola","botella"
"72275","secco","botella"
"72276","Fanta","botella"
"72277","sprite","botella"
"72278","cepita","botella"
"72279","tang","sobre de jugo"
"72280","arcor","sobre de jugo"
"72281","7 up","botella"
"72282","pepsico","latas"
"72283","hellmas","envase de mayonesa"
"72284","lia","envoltorio"
"72285","bic","tapa de lapicera"
"72286","cotar","Sachets"
"72287","vino toro","tetrabrik"
"72288","gatorade","tapa"
"72289","baggio","sorbete"
"72290","pritty","botella"
"72291","villa del sur","botella"
"72292","huggies","paÃ±al"
"72293","brama","latas"
"72294","serenisima","vasos de yogurt"
"72295","doble cola","botella"
"72296","villa vincencio","botella"
"72297","cada dia","envoltorio"
"72298","danica","envase"
"72299","tregar","Sachets"
"72300","jaimito","envoltorio"
"72301","muelita","envase"
"72302","nikito","envoltorio"
"72303","desconocido","bolsa"
"72304","desconocido","pedazos de tanza"
"72305","desconocido","restos de goma"
"72306","DESCONOCIDO","ENVASE DE SUERO"
"72307","DESCONOCIDO","BANDEJA"
"72308","DESCONOCIDO","ENCENDEDOR"
"72309","LA CUMBRE","ENVASE"
"72310","UNILEVER","ENVASE"
"72311","MALBORO","PACK CIGARRILLOS"
"72312","RENAULT","FARO DE AUTO"
"72313","QUILMES","LATA"
"72314","CRUSH","BOTELLA"
"72315","MC DONALDS","VASO DESCARTABLE"
"72316","SCHNEIDER","LATA"
"72317","GUAYMALLEN","ENVOLTORIO"
"72318","SIERRA DE LOS ANDES","BOTELLA"
"72319","DESCONOCIDO","SORBETE"
"72320","KNORR","ENVOLTORIO"
"72321","COLOSO","ENVOLTORIO"
"72322","PERVINOX","BOTELLA"
"72323","REXONA","ENVASES"
"72324","DESCONOCIDO","PEDAZOS PLÃSTICOS NO IDENTIFICABLES"
"72325","TRES LEONES","BOTELLA"
"72326","URSELLA","Sachets"
"72327","GRANIX","ENVASE"
"72328","FIZZ","ENVOLTORIO CARAMELO"
"72329","DESCONOCIDO","Sachets"
"72330","DESCONOCIDO","JERINGA"
"72331","SPEED","LATA"
"72332","ALKA","ENVOLTORIO CARAMELO"
"72333","Pure water","Plastic Bags"
"72334","Unknown","Packing Styrofoam"
"72335","Unknown","Foam"
"72336","99 cent store","Plastic Bags"
"72337","Walmart","Plastic Bags"
"72338","Unknown","Plastic Bags"
"72339","Unknown","Cloth Rags"
"72340","Unknown","Shoe Insert"
"72341","Unknown","fishing line"
"72342","Calvin Klein","Flip Flop"
"72343","Aim","toothpaste"
"72344","Unknown","Hard plastic pieces"
"72345","Benson & Hedges","Cigarette Butts"
"72346","Lays chips","Chip Bag"
"72347","Recess","Plastic wrappers"
"72348","Raid and roach killer","Raid Pen"
"72349","Game Cisars","Cigars"
"72350","Brookshires","WATER"
"72351","Wendy's","drink"
"72352","Sunny B","juice"
"72353","Chick-fil-a","Cups"
"72354","Time Wise","Cups"
"72355","Tom milk","yogurt"
"72356","Kirkland","Water Bottle"
"72357","snicker","candy"
"72358","condor ginger international pkg","Plastic wrappers"
"72359","Topo Chico","drink"
"72360","Kwik Trip","ice bag"
"72361","Kwik Trip","Glazer donut box cellophane"
"72362","Kwik Trip","Nature's Touch plastic bottle"
"72363","Kwik Trip","karuba coffee cup"
"72364","McDonalds","Plastic straw"
"72365","Taco Bell","sauce wrap"
"72366","Coke","plastic bottle"
"72367","unknown","plastic bottle cap"
"72368","Buddig","deli turkey package"
"72369","Teddy Grahams (Mondelez Global)","snack packaging"
"72370","Kellogg's","Plastic wrappers"
"72371","Pearson's","Plastic wrappers"
"72372","Michelob","bottle label"
"72373","unknown","Plastic straw"
"72374","unknown","styrofoam takeout container"
"72375","Basic","cellophane from box"
"72376","Marlboro","Cigarette Butts"
"72377","Menards","shopping bag"
"72378","Howard Leight by Honeywell","ear plug packaging"
"72379","General Mills","recipe card"
"72380","unknown","styrofoam"
"72381","unknown","broken window frame"
"72382","unknown","hard plastic hi voltage warning marker"
"72383","unknown","marking flag wire post"
"72384","unknown","electrical tape"
"72385","unknown","styrofoam cup"
"72386","Camel","Cigarette Butts"
"72387","7UP","12 oz aluminum can"
"72388","Nature Valley","Plastic wrappers"
"72389","Crystal Geyser","8oz plastic water bottle"
"72390","unknow","Glass bottle"
"72391","unknow","Volleyball"
"72392","Mc Donald's","Plastic straw"
"72393","Mondelez","1 package"
"72394","Cechetto","coffee capsule"
"72395","unknow","Cigarette Packaging"
"72396","Danone","Actimel Yogurt bottle"
"72397","Coca cola","aluminium can"
"72398","NestlÃ©","bottle plastic"
"72399","Denner","beer aluminium can"
"72400","Unilever","plastic package"
"72401","Coop","plastic package"
"72402","Coop","Plastic package"
"72403","Mars","plastic package"
"72404","Clarins","sun cream bottle"
"72405","swiss beverage","beer can (aluminium)"
"72406","Martini","Glass bottle"
"72407","Starbucks","Plastic Bags"
"72408","red bull","can aluminium"
"72409","Superbock","Glass bottle"
"72410","lidl","package"
"72411","FeldschlÃ¶ssen","aluminium beer can"
"72412","Lowenbrau","aluminium beer can"
"72413","Unknow","Plastic caps"
"72414","Unknow","Cigarette Lighters"
"72415","Coca cola","Plastic caps"
"72416","Unknow","Toothbrush"
"72417","Sprite","Plastic bottle"
"72418","Sprite","Plastic caps"
"72419","Coca cola","Plastic caps"
"72420","Sponsor","Label"
"72421","Seven Eleven (7-11)","Plastic straw"
"72422","NAMTHIP","Plastic caps"
"72423","Lactasoy","Milk carton"
"72424","M 150","Label (paper)"
"72425","NAMTHIP","Plastic bottle"
"72426","Mama","Carton"
"72427","Red bull","Aluminium caps"
"72428","Unknow","snack carton"
"72429","NAMTHIP","Label"
"72430","Coca cola","Plastic bottle"
"72431","OISHI","Plastic bottle"
"72432","Seven Eleven (7-11)","Plastic cup"
"72433","Nestle","Plastic bottle"
"72434","Tipco","Plastic caps"
"72435","Leo","Paper label"
"72436","Coca cola","Plastic bottle"
"72437","Foremost","Milk carton"
"72438","Yum Yum","Carton"
"72439","Singha","Caps"
"72440","OISHI","Plastic caps"
"72441","johnson & johnson","Plastic bottle"
"72442","Coca cola","Label"
"72443","Fanta","Plastic bottle"
"72444","Nivea","Plastic bottle"
"72445","Pond","Shampoo bottle"
"72446","Nissin","Carton"
"72447","Amazon","Plastic cup"
"72448","Garnier","Sachets"
"72449","Unknow","Plastic caps"
"72450","Nescafe","Can"
"72451","Vitamilk","Aluminium caps"
"72452","Dna (Dutch Mill)","Milk carton"
"72453","Dewberry","Sachets"
"72454","Dutch Mill","Milk carton"
"72455","Lipo Vitan-D","Aluminium caps"
"72456","ICHITAN","Plastic caps"
"72457","WaiWai Quick","Carton"
"72458","Breeze","Carton"
"72459","Conne'","Chip Bag"
"72460","Tivoli (Jack 'n Jill)","Chip Bag"
"72461","Betagen","Milk carton"
"72462","Twin lotus","Toothbrush"
"72463","Placon","Asiago cheese"
"72464","McDonald's","Coffee cup"
"72465","Closeup","Toothpaste"
"72466","Seven Eleven (7-11)","Caps"
"72467","Sprite","Label"
"72468","Crystal","Plastic bottle"
"72469","Hong Thong","Label"
"72470","Pepsi","Plastic bottle"
"72471","Chang (ThaiBev)","Aluminium caps"
"72472","Hong Thong","Paper label"
"72473","Julie's","Carton"
"72474","Fisho","Chip Bag"
"72475","Sunlight (Unilever)","Dishwashing plastic caps"
"72476","Garnier","Plastic Bottle"
"72477","Khao Shong Coffee","Label"
"72478","NESTLE SU","PLASTIC - WATER BOTTLE- FOREIGN PRODUCT"
"72479","PINAR SU","PLASTIC-WATER BOTTLE-INLAND PRODUCT"
"72480","DAMLA SU","PLASTIC-WATER BOTTLE-INLAND PRODUCT"
"72481","AROMA SU","PLASTIC-WATER BOTTLE-INLAND PRODUCT"
"72482","EFES PÄ°LSEN","TIN- BEER-INLAND PRODUCT"
"72483","ETÄ°","PLASTIC PACKAGE-FOOD-INLAND PRODUCT"
"72484","COCA COLA","TIN-FOREIGN PRODUCT"
"72485","YEDÄ°GÃœN COLA","TIN-FOREIGN PRODUCT"
"72486","Ã‡ENESUYU","PLASTIC-WATER BOTTLE-INLAND PRODUCT"
"72487","KARDELEN SU","PLASTIC-WATER BOTTLE-INLAND PRODUCT"
"72488","ULUDAÄž COLA","PLASTIC BOTTLE-INLAND PRODUCT"
"72489","HAYAT SU","PLASTIC-WATER BOTTLE-INLAND PRODUCT"
"72490","SIRMAKEÅž SU","PLASTIC-WATER BOTTLE-INLAND PRODUCT"
"72491","SAKA SU","PLASTIC-WATER BOTTLE-INLAND PRODUCT"
"72492","BÄ°M","PLASTIC PACKAGE-FOOD-GROCERY STORE CHAIN IN TURKEY-INLAND PRODUCT"
"72493","FRITO-LAY","Chips bag"
"72494","TADIM","PLASTIC PACKAGE-DRIED NUTS AND FRUITS-INLAND PRODUCT"
"72495","PEPSI COLA","PLASTIC BOTTLE-FOREIGN PRODUCT"
