"","Brand","ItemDescription"
"342","Uni-President","food pack"
"343","Green Bean Congee","food pack"
"344","Yi Chun","food pack"
"345","Mc Donald'S","food pack"
"346","Nestle","food pack"
"347","Garden","food pack"
"348","Master Kong","food pack"
"349","Zai Lai Dian","food pack"
"350","Zheng","food pack"
"351","Nongfu Spring","food pack"
"352","Life 1","food pack"
"353","Agricultural Chemical Unknown","food pack"
"354","Shuang Xi","food pack"
"355","Haagen Dazs","food pack"
"356","Jia Bao","food pack"
"357","Fish Unknown","food pack"
"358","Cup Noodle","food pack"
"359","Edo Cracker","food pack"
"360","Shuang Zui Zai","food pack"
"361","Wei Long","food pack"
"362","Xi Zhi Lang","food pack"
"363","Hao Ba","food pack"
"364","Fu Yun","alcohol wipe"
"365","Shi Zai Niu","food pack"
"366","Hong Wang","food pack"
"367","Da Li Yuan","food pack"
"368","Gang Rong","food pack"
"369","Zhu Jiang Bridge","food pack"
"370","Li Bai Jia","food pack"
"371","Xiang Zhi Lin","food pack"
"372","Sau Tao Food","food pack"
"373","Xiang Piao Piao","bottle cap"
"374","Hao Li You","food pack"
"375","Bai Jia","food pack"
"376","Diao Brand","food pack"
"377","Temple","tissue pack"
"378","You Qing","food pack"
"379","Nissin","food pack"
"380","Du Du Siang","food pack"
"381","Pao Ba","food pack"
"382","Da Fa","food pack"
"383","Cake Unknown","food pack"
"384","Jin Lin","food pack"
"385","Lao Di Fang","food pack"
"386","Ladybird","food pack"
"387","Biscuit Unknown","food pack"
"388","Wu Yi Shan","food pack"
"389","Mei Yi Le","bottle cap"
"390","Liu Wei Di Herbal Drug","food pack"
"391","Select Green Tea","food pack"
"392","Qi Xiang Pai","food pack"
"393","Yan Tang","bottle cap"
"394","Ou Chong Wan","food pack"
"395","Pentene","shampoo"
"396","Liu Shen","perfume"
"397","Mentholatum","drug pack"
"398","Xiao Mai Malt","food pack"
"399","Verb","spray bottle"
"400","Ai Zhi Ji","hair care pack"
"401","Dried Mango Unknown","food pack"
"402","Yi Li Qing","food pack"
"403","Ba Que","food pack"
"404","Wang Zai","food pack"
"405","Zui Xiang Yuan","food pack"
"406","Zheng Shan Tea","food pack"
"407","Jin Zhen Shan","food pack"
"408","Beverage Cup Unknown","Cups"
"409","Korean Snack","food pack"
"410","Ba Bi Xiong","food pack"
"411","Fu Kang","food pack"
"412","Qi Du Du","food pack"
"413","M&M'S","food pack"
"414","Tao Ti","food pack"
"415","Yeung Kwong","food pack"
"416","Yili","food pack"
"417","Bourbon","food pack"
"418","Gu Ben Tang","food pack"
"419","Wang Jia","food pack"
"420","Bai Tian","food pack"
"421","Wrigley","gum pack"
"422","Wantwant","food pack"
"423","Yuan Bao","food pack"
"424","Quaker","food pack"
"425","Unidentified Brand","face care pack"
"426","Ya Dai","food pack"
"427","Esd","food pack"
"428","Li Ke Fa","food pack"
"429","Daniel","food pack"
"430","Pia","food pack"
"431","La Fang","food pack"
"432","Lu Zi","food pack"
"433","Golden Bell","food pack"
"434","Shu Zhong","food pack"
"435","Pao Ba","food pack"
"436","Wang Cheng","food pack"
"437","759","food pack"
"438","Ritz","food pack"
"439","Shuang Hui","food pack"
"440","Liu Dian Ban","food pack"
"441","Bo Chang","food pack"
"442","Fish Food Unknown","food pack"
"443","Shrimp Snack Unknown","food pack"
"444","Fried Noodle King","food pack"
"445","Kao","shampoo"
"446","Xi He","bottle cap"
"447","Rong Jiang","food pack"
"448","Xin He","food pack"
"449","Tong Gardon","food pack"
"450","Taiwan World","food pack"
"451","Shan Shui Tofu","food pack"
"452","Dou Wu Bai","food pack"
"453","Balocco","food pack"
"454","Gua Xuan","food pack"
"455","Blue Knife","food pack"
"456","Guang Xiang","food pack"
"457","Guan Ji Yuan","food pack"
"458","Zhong Hua","food pack"
"459","Qing Hao Yuan","food pack"
"460","Xu Fu Ji","food pack"
"461","Qi Si Tang","food pack"
"462","Jin Yao Shi","food pack"
"463","Lao Shan He","food pack"
"464","Jin Lin","food pack"
"465","Four Seasons","food pack"
"466","Ma Bai Liang","food pack"
"467","Yao Yang Lu","food pack"
"468","Wu Jiang Pai","food pack"
"469","Meiji","food pack"
"470","Bralirwa","Plastic bottle"
"471","Inyange","Plastic bottle"
"472","Azam","Plastic bottle"
"473","Unknown","Plastic Bags"
"474","Movit","Plastic bottle"
"475","Inyange Yoghourt","Plastic bottle"
"476","Masaka Yoghourt","Plastic bottle"
"477","Zirakamwa Yoghourt","Plastic bottle"
"478","Mukamira Yoghourt","Plastic bottle"
"479","Coca Cola","Soft Drink Bottles"
"480","Pepsi","Soft Drink Bottles"
"481","Coca Cola","Plastic bottle"
"482","C Way","Nutri Milk"
"483","Royal Crown","Soft Drink Bottles"
"484","Fearless","Soft Drink Bottles"
"485","Mangero","Plastic bottle"
"486","Smoov Champan","Soft Drink Bottles"
"487","La Cassara","Soft Drink Bottles"
"488","Aque Rapha","Plastic bottle"
"489","Pax","Plastic bottle"
"490","Unknown","Plastic bottle"
"491","Nivea","Body Cream"
"492","Foils","Take Way"
"493","Sachet Water","Water Sachets"
"494","Unknown","Nylon"
"495","Dubic","Malt Drink"
"496","Intercontinental Distillers Ltd","Hot Drink"
"497","Gala","Sauage"
"498","Rite","Sauage"
"499","Beloxxi","Biscuit"
"500","Nestle","Coffee"
"501","Benson & Hedges","Cigar"
"502","Dorchaster","Cigar"
"503","Sunlight","Distergent"
"504","Squad 5","Hot Drink"
"505","Disposable Spoons","Spoons"
"506","Disposable Cups","Coffee Cups"
"507","Lids","Covers"
"508","Straw","strew"
"509","Oxford","Biscuit"
"510","Yala","Biscuit"
"511","Dufil","Indomin"
